"ms_ensemblID","ms_ensemblID_version","ms_symbol","hu_ensemblID","hu_symbol","hu_ensemblID_version","date"
"ENSMUSG00000005131","ENSMUSG00000005131.5","4930550C14Rik","ENSG00000166323","C11orf65","ENSG00000166323.13",2024-08-25
"ENSMUSG00000036606","ENSMUSG00000036606.18","Plxnb2","ENSG00000196576","PLXNB2","ENSG00000196576.16",2024-08-25
"ENSMUSG00002076203","ENSMUSG00002076203.1","Gm54696","ENSG00000201423","RN7SKP246","ENSG00000201423.1",2024-08-25
"ENSMUSG00000029313","ENSMUSG00000029313.19","Aff1","ENSG00000172493","AFF1","ENSG00000172493.23",2024-08-25
"ENSMUSG00000090946","ENSMUSG00000090946.4","Ccdc71l","ENSG00000253276","CCDC71L","ENSG00000253276.5",2024-08-25
"ENSMUSG00000028961","ENSMUSG00000028961.16","Pgd","ENSG00000142657","PGD","ENSG00000142657.21",2024-08-25
"ENSMUSG00000032110","ENSMUSG00000032110.5","Acrv1","ENSG00000134940","ACRV1","ENSG00000134940.14",2024-08-25
"ENSMUSG00000045404","ENSMUSG00000045404.17","Kcnk13","ENSG00000152315","KCNK13","ENSG00000152315.5",2024-08-25
"ENSMUSG00000025544","ENSMUSG00000025544.14","Tm9sf2","ENSG00000125304","TM9SF2","ENSG00000125304.10",2024-08-25
"ENSMUSG00000026479","ENSMUSG00000026479.14","Lamc2","ENSG00000058085","LAMC2","ENSG00000058085.15",2024-08-25
"ENSMUSG00000034218","ENSMUSG00000034218.17","Atm","ENSG00000149311","ATM","ENSG00000149311.21",2024-08-25
"ENSMUSG00000021469","ENSMUSG00000021469.10","Msx2","ENSG00000120149","MSX2","ENSG00000120149.9",2024-08-25
"ENSMUSG00000024502","ENSMUSG00000024502.11","Jakmip2","ENSG00000176049","JAKMIP2","ENSG00000176049.16",2024-08-25
"ENSMUSG00000020572","ENSMUSG00000020572.9","Nampt","ENSG00000105835","NAMPT","ENSG00000105835.13",2024-08-25
"ENSMUSG00000033768","ENSMUSG00000033768.18","Nrxn2","ENSG00000110076","NRXN2","ENSG00000110076.21",2024-08-25
"ENSMUSG00000057706","ENSMUSG00000057706.8","Mex3b","ENSG00000183496","MEX3B","ENSG00000183496.6",2024-08-25
"ENSMUSG00000001542","ENSMUSG00000001542.8","Ell2","ENSG00000118985","ELL2","ENSG00000118985.16",2024-08-25
"ENSMUSG00000027297","ENSMUSG00000027297.16","Ltk","ENSG00000062524","LTK","ENSG00000062524.16",2024-08-25
"ENSMUSG00000028779","ENSMUSG00000028779.17","Pef1","ENSG00000162517","PEF1","ENSG00000162517.13",2024-08-25
"ENSMUSG00000024503","ENSMUSG00000024503.4","Spink1","ENSG00000164266","SPINK1","ENSG00000164266.11",2024-08-25
"ENSMUSG00000038482","ENSMUSG00000038482.12","Tfdp1","ENSG00000198176","TFDP1","ENSG00000198176.13",2024-08-25
"ENSMUSG00000004364","ENSMUSG00000004364.15","Cul3","ENSG00000036257","CUL3","ENSG00000036257.14",2024-08-25
"ENSMUSG00000021178","ENSMUSG00000021178.10","Psmc1","ENSG00000100764","PSMC1","ENSG00000100764.14",2024-08-25
"ENSMUSG00000038791","ENSMUSG00000038791.15","Scgb3a2","ENSG00000164265","SCGB3A2","ENSG00000164265.9",2024-08-25
"ENSMUSG00000000861","ENSMUSG00000000861.16","Bcl11a","ENSG00000119866","BCL11A","ENSG00000119866.22",2024-08-25
"ENSMUSG00000071858","ENSMUSG00000071858.5","Gm94","ENSG00000178776","C5orf46","ENSG00000178776.5",2024-08-25
"ENSMUSG00000066151","ENSMUSG00000066151.13","Fkbp15","ENSG00000119321","FKBP15","ENSG00000119321.10",2024-08-25
"ENSMUSG00000025545","ENSMUSG00000025545.11","Clybl","ENSG00000125246","CLYBL","ENSG00000125246.16",2024-08-25
"ENSMUSG00000024212","ENSMUSG00000024212.10","Mllt1","ENSG00000130382","MLLT1","ENSG00000130382.9",2024-08-25
"ENSMUSG00000055561","ENSMUSG00000055561.10","Spink5","ENSG00000133710","SPINK5","ENSG00000133710.17",2024-08-25
"ENSMUSG00000021478","ENSMUSG00000021478.7","Drd1","ENSG00000184845","DRD1","ENSG00000184845.4",2024-08-25
"ENSMUSG00000021591","ENSMUSG00000021591.9","Glrx","ENSG00000173221","GLRX","ENSG00000173221.14",2024-08-25
"ENSMUSG00000021179","ENSMUSG00000021179.9","Nrde2","ENSG00000119720","NRDE2","ENSG00000119720.18",2024-08-25
"ENSMUSG00000041703","ENSMUSG00000041703.8","Zic5","ENSG00000139800","ZIC5","ENSG00000139800.9",2024-08-25
"ENSMUSG00000021474","ENSMUSG00000021474.10","Sfxn1","ENSG00000164466","SFXN1","ENSG00000164466.13",2024-08-25
"ENSMUSG00000061524","ENSMUSG00000061524.9","Zic2","ENSG00000043355","ZIC2","ENSG00000043355.12",2024-08-25
"ENSMUSG00000045019","ENSMUSG00000045019.5","Acer1","ENSG00000167769","ACER1","ENSG00000167769.5",2024-08-25
"ENSMUSG00000044150","ENSMUSG00000044150.13","Bclaf3","ENSG00000173681","BCLAF3","ENSG00000173681.17",2024-08-25
"ENSMUSG00000074802","ENSMUSG00000074802.12","Gas2l3","ENSG00000139354","GAS2L3","ENSG00000139354.11",2024-08-25
"ENSMUSG00000065476","ENSMUSG00000065476.4","Mir30b","ENSG00000207582","MIR30B","ENSG00000207582.1",2024-08-25
"ENSMUSG00000040452","ENSMUSG00000040452.10","Cdh12","ENSG00000154162","CDH12","ENSG00000154162.15",2024-08-25
"ENSMUSG00000026478","ENSMUSG00000026478.15","Lamc1","ENSG00000135862","LAMC1","ENSG00000135862.6",2024-08-25
"ENSMUSG00000022053","ENSMUSG00000022053.14","Ebf2","ENSG00000221818","EBF2","ENSG00000221818.9",2024-08-25
"ENSMUSG00000015476","ENSMUSG00000015476.7","Prrt1","ENSG00000204314","PRRT1","ENSG00000204314.12",2024-08-25
"ENSMUSG00000020752","ENSMUSG00000020752.12","Recql5","ENSG00000108469","RECQL5","ENSG00000108469.15",2024-08-25
"ENSMUSG00000034987","ENSMUSG00000034987.5","Hrh2","ENSG00000113749","HRH2","ENSG00000113749.8",2024-08-25
"ENSMUSG00000059991","ENSMUSG00000059991.8","Nptx2","ENSG00000106236","NPTX2","ENSG00000106236.4",2024-08-25
"ENSMUSG00000020570","ENSMUSG00000020570.16","Sypl","ENSG00000008282","SYPL1","ENSG00000008282.10",2024-08-25
"ENSMUSG00000046169","ENSMUSG00000046169.11","Adamts6","ENSG00000049192","ADAMTS6","ENSG00000049192.15",2024-08-25
"ENSMUSG00000002660","ENSMUSG00000002660.9","Clpp","ENSG00000125656","CLPP","ENSG00000125656.11",2024-08-25
"ENSMUSG00000065437","ENSMUSG00000065437.3","Mir30d","ENSG00000199153","MIR30D","ENSG00000199153.1",2024-08-25
"ENSMUSG00000043388","ENSMUSG00000043388.9","Tmem130","ENSG00000166448","TMEM130","ENSG00000166448.15",2024-08-25
"ENSMUSG00000033739","ENSMUSG00000033739.9","Fkbpl","ENSG00000204315","FKBPL","ENSG00000204315.4",2024-08-25
"ENSMUSG00000119035","ENSMUSG00000119035.1","Gm25101","ENSG00000251897","RNU6-916P","ENSG00000251897.1",2024-08-25
"ENSMUSG00000002661","ENSMUSG00000002661.15","Alkbh7","ENSG00000125652","ALKBH7","ENSG00000125652.8",2024-08-25
"ENSMUSG00000015377","ENSMUSG00000015377.11","Dennd6b","ENSG00000205593","DENND6B","ENSG00000205593.12",2024-08-25
"ENSMUSG00000036198","ENSMUSG00000036198.13","Arhgap36","ENSG00000147256","ARHGAP36","ENSG00000147256.12",2024-08-25
"ENSMUSG00000031449","ENSMUSG00000031449.11","Atp4b","ENSG00000186009","ATP4B","ENSG00000186009.5",2024-08-25
"ENSMUSG00000072889","ENSMUSG00000072889.10","Nfxl1","ENSG00000170448","NFXL1","ENSG00000170448.12",2024-08-25
"ENSMUSG00000041992","ENSMUSG00000041992.10","Rapgef5","ENSG00000136237","RAPGEF5","ENSG00000136237.20",2024-08-25
"ENSMUSG00000002664","ENSMUSG00000002664.3","Pspn","ENSG00000125650","PSPN","ENSG00000125650.5",2024-08-25
"ENSMUSG00000110100","ENSMUSG00000110100.2","Gm45261","ENSG00000283428","CCDC195","ENSG00000283428.1",2024-08-25
"ENSMUSG00000042708","ENSMUSG00000042708.13","Shcbp1l","ENSG00000157060","SHCBP1L","ENSG00000157060.16",2024-08-25
"ENSMUSG00000002658","ENSMUSG00000002658.10","Gtf2f1","ENSG00000125651","GTF2F1","ENSG00000125651.14",2024-08-25
"ENSMUSG00000031450","ENSMUSG00000031450.9","Grk1","ENSG00000185974","GRK1","ENSG00000185974.7",2024-08-25
"ENSMUSG00000051050","ENSMUSG00000051050.11","Spink14","ENSG00000196800","SPINK14","ENSG00000196800.7",2024-08-25
"ENSMUSG00000056758","ENSMUSG00000056758.15","Hmga2","ENSG00000149948","HMGA2","ENSG00000149948.14",2024-08-25
"ENSMUSG00000033577","ENSMUSG00000033577.19","Myo6","ENSG00000196586","MYO6","ENSG00000196586.17",2024-08-25
"ENSMUSG00000024472","ENSMUSG00000024472.10","Dcp2","ENSG00000172795","DCP2","ENSG00000172795.17",2024-08-25
"ENSMUSG00000015461","ENSMUSG00000015461.16","Atf6b","ENSG00000213676","ATF6B","ENSG00000213676.13",2024-08-25
"ENSMUSG00000038457","ENSMUSG00000038457.18","Tmem255b","ENSG00000184497","TMEM255B","ENSG00000184497.13",2024-08-25
"ENSMUSG00000047638","ENSMUSG00000047638.16","Nr1h4","ENSG00000012504","NR1H4","ENSG00000012504.15",2024-08-25
"ENSMUSG00000048442","ENSMUSG00000048442.16","Smim5","ENSG00000204323","SMIM5","ENSG00000204323.5",2024-08-25
"ENSMUSG00000041650","ENSMUSG00000041650.16","Pcca","ENSG00000175198","PCCA","ENSG00000175198.17",2024-08-25
"ENSMUSG00000071856","ENSMUSG00000071856.11","Mcc","ENSG00000171444","MCC","ENSG00000171444.19",2024-08-25
"ENSMUSG00002075301","ENSMUSG00002075301.1","Gm54929","ENSG00000221269","MIR1302-8","ENSG00000221269.1",2024-08-25
"ENSMUSG00000030733","ENSMUSG00000030733.11","Sh2b1","ENSG00000178188","SH2B1","ENSG00000178188.16",2024-08-25
"ENSMUSG00000039521","ENSMUSG00000039521.14","Foxp3","ENSG00000049768","FOXP3","ENSG00000049768.18",2024-08-25
"ENSMUSG00000063935","ENSMUSG00000063935.4","Zar1","ENSG00000182223","ZAR1","ENSG00000182223.7",2024-08-25
"ENSMUSG00000027971","ENSMUSG00000027971.17","Ndst4","ENSG00000138653","NDST4","ENSG00000138653.10",2024-08-25
"ENSMUSG00000040420","ENSMUSG00000040420.16","Cdh18","ENSG00000145526","CDH18","ENSG00000145526.12",2024-08-25
"ENSMUSG00000021589","ENSMUSG00000021589.14","Rhobtb3","ENSG00000164292","RHOBTB3","ENSG00000164292.13",2024-08-25
"ENSMUSG00000031629","ENSMUSG00000031629.15","Cenpu","ENSG00000151725","CENPU","ENSG00000151725.12",2024-08-25
"ENSMUSG00000020755","ENSMUSG00000020755.10","Sap30bp","ENSG00000161526","SAP30BP","ENSG00000161526.15",2024-08-25
"ENSMUSG00000029312","ENSMUSG00000029312.13","Klhl8","ENSG00000145332","KLHL8","ENSG00000145332.14",2024-08-25
"ENSMUSG00000007670","ENSMUSG00000007670.11","Khsrp","ENSG00000088247","KHSRP","ENSG00000088247.19",2024-08-25
"ENSMUSG00000025867","ENSMUSG00000025867.9","Cplx2","ENSG00000145920","CPLX2","ENSG00000145920.15",2024-08-25
"ENSMUSG00000030275","ENSMUSG00000030275.7","Etnk1","ENSG00000139163","ETNK1","ENSG00000139163.16",2024-08-25
"ENSMUSG00000032854","ENSMUSG00000032854.13","Ugt8a","ENSG00000174607","UGT8","ENSG00000174607.11",2024-08-25
"ENSMUSG00000034653","ENSMUSG00000034653.12","Ythdc2","ENSG00000047188","YTHDC2","ENSG00000047188.16",2024-08-25
"ENSMUSG00000025872","ENSMUSG00000025872.6","Thoc3","ENSG00000051596","THOC3","ENSG00000051596.10",2024-08-25
"ENSMUSG00000041842","ENSMUSG00000041842.16","Fhdc1","ENSG00000137460","FHDC1","ENSG00000137460.10",2024-08-25
"ENSMUSG00000003119","ENSMUSG00000003119.15","Cdk12","ENSG00000167258","CDK12","ENSG00000167258.16",2024-08-25
"ENSMUSG00000021590","ENSMUSG00000021590.8","Spata9","ENSG00000145757","SPATA9","ENSG00000145757.16",2024-08-25
"ENSMUSG00000019935","ENSMUSG00000019935.17","Slc17a8","ENSG00000179520","SLC17A8","ENSG00000179520.11",2024-08-25
"ENSMUSG00000036067","ENSMUSG00000036067.13","Slc2a6","ENSG00000160326","SLC2A6","ENSG00000160326.14",2024-08-25
"ENSMUSG00000067220","ENSMUSG00000067220.13","Cnga1","ENSG00000198515","CNGA1","ENSG00000198515.16",2024-08-25
"ENSMUSG00000035860","ENSMUSG00000035860.10","Cdhr3","ENSG00000128536","CDHR3","ENSG00000128536.16",2024-08-25
"ENSMUSG00000041625","ENSMUSG00000041625.16","Ggact","ENSG00000134864","GGACT","ENSG00000134864.11",2024-08-25
"ENSMUSG00000021715","ENSMUSG00000021715.13","Cwc27","ENSG00000153015","CWC27","ENSG00000153015.17",2024-08-25
"ENSMUSG00000042699","ENSMUSG00000042699.12","Dhx9","ENSG00000135829","DHX9","ENSG00000135829.17",2024-08-25
"ENSMUSG00000036800","ENSMUSG00000036800.9","Fam135b","ENSG00000147724","FAM135B","ENSG00000147724.12",2024-08-25
"ENSMUSG00000046561","ENSMUSG00000046561.10","Arsj","ENSG00000180801","ARSJ","ENSG00000180801.14",2024-08-25
"ENSMUSG00000048612","ENSMUSG00000048612.17","Myof","ENSG00000138119","MYOF","ENSG00000138119.17",2024-08-25
"ENSMUSG00000049553","ENSMUSG00000049553.12","Polr1a","ENSG00000068654","POLR1A","ENSG00000068654.17",2024-08-25
"ENSMUSG00000051236","ENSMUSG00000051236.14","Msrb3","ENSG00000174099","MSRB3","ENSG00000174099.12",2024-08-25
"ENSMUSG00000074513","ENSMUSG00000074513.10","Arfip1","ENSG00000164144","ARFIP1","ENSG00000164144.16",2024-08-25
"ENSMUSG00000021175","ENSMUSG00000021175.16","Cdca7l","ENSG00000164649","CDCA7L","ENSG00000164649.20",2024-08-25
"ENSMUSG00000011486","ENSMUSG00000011486.15","Slc25a41","ENSG00000181240","SLC25A41","ENSG00000181240.14",2024-08-25
"ENSMUSG00000031451","ENSMUSG00000031451.7","Gas6","ENSG00000183087","GAS6","ENSG00000183087.15",2024-08-25
"ENSMUSG00000041594","ENSMUSG00000041594.19","Tmtc4","ENSG00000125247","TMTC4","ENSG00000125247.16",2024-08-25
"ENSMUSG00000033949","ENSMUSG00000033949.13","Trim36","ENSG00000152503","TRIM36","ENSG00000152503.10",2024-08-25
"ENSMUSG00000067219","ENSMUSG00000067219.10","Nipal1","ENSG00000163293","NIPAL1","ENSG00000163293.12",2024-08-25
"ENSMUSG00000028778","ENSMUSG00000028778.16","Hcrtr1","ENSG00000121764","HCRTR1","ENSG00000121764.12",2024-08-25
"ENSMUSG00000022757","ENSMUSG00000022757.20","Tfg","ENSG00000114354","TFG","ENSG00000114354.15",2024-08-25
"ENSMUSG00000021716","ENSMUSG00000021716.15","Srek1ip1","ENSG00000153006","SREK1IP1","ENSG00000153006.16",2024-08-25
"ENSMUSG00000069539","ENSMUSG00000069539.12","Scyl2","ENSG00000136021","SCYL2","ENSG00000136021.19",2024-08-25
"ENSMUSG00000009214","ENSMUSG00000009214.10","Mymk","ENSG00000187616","MYMK","ENSG00000187616.5",2024-08-25
"ENSMUSG00000034528","ENSMUSG00000034528.16","Hsd17b13","ENSG00000170509","HSD17B13","ENSG00000170509.12",2024-08-25
"ENSMUSG00000048827","ENSMUSG00000048827.13","Pkd1l3","ENSG00000277481","PKD1L3","ENSG00000277481.2",2024-08-25
"ENSMUSG00000001175","ENSMUSG00000001175.17","Calm1","ENSG00000198668","CALM1","ENSG00000198668.14",2024-08-25
"ENSMUSG00000028199","ENSMUSG00000028199.19","Cryz","ENSG00000116791","CRYZ","ENSG00000116791.14",2024-08-25
"ENSMUSG00000042655","ENSMUSG00000042655.6","Shisal2b","ENSG00000145642","SHISAL2B","ENSG00000145642.12",2024-08-25
"ENSMUSG00000046329","ENSMUSG00000046329.15","Slc25a23","ENSG00000125648","SLC25A23","ENSG00000125648.15",2024-08-25
"ENSMUSG00000024477","ENSMUSG00000024477.5","Pggt1b","ENSG00000164219","PGGT1B","ENSG00000164219.10",2024-08-25
"ENSMUSG00000043183","ENSMUSG00000043183.19","Simc1","ENSG00000170085","SIMC1","ENSG00000170085.18",2024-08-25
"ENSMUSG00000036561","ENSMUSG00000036561.10","Ppp6r2","ENSG00000100239","PPP6R2","ENSG00000100239.16",2024-08-25
"ENSMUSG00000028776","ENSMUSG00000028776.15","Tinagl1","ENSG00000142910","TINAGL1","ENSG00000142910.16",2024-08-25
"ENSMUSG00000026896","ENSMUSG00000026896.15","Ifih1","ENSG00000115267","IFIH1","ENSG00000115267.10",2024-08-25
"ENSMUSG00000022755","ENSMUSG00000022755.5","Adgrg7","ENSG00000144820","ADGRG7","ENSG00000144820.8",2024-08-25
"ENSMUSG00000071855","ENSMUSG00000071855.6","Ccdc112","ENSG00000164221","CCDC112","ENSG00000164221.13",2024-08-25
"ENSMUSG00000040473","ENSMUSG00000040473.16","Cfap69","ENSG00000105792","CFAP69","ENSG00000105792.19",2024-08-25
"ENSMUSG00000021719","ENSMUSG00000021719.10","Rgs7bp","ENSG00000186479","RGS7BP","ENSG00000186479.5",2024-08-25
"ENSMUSG00000038255","ENSMUSG00000038255.7","Neurod2","ENSG00000171532","NEUROD2","ENSG00000171532.5",2024-08-25
"ENSMUSG00000048661","ENSMUSG00000048661.15","Lemd3","ENSG00000174106","LEMD3","ENSG00000174106.3",2024-08-25
"ENSMUSG00000044279","ENSMUSG00000044279.16","Crb3","ENSG00000130545","CRB3","ENSG00000130545.16",2024-08-25
"ENSMUSG00000009900","ENSMUSG00000009900.8","Wnt3a","ENSG00000154342","WNT3A","ENSG00000154342.6",2024-08-25
"ENSMUSG00000043190","ENSMUSG00000043190.15","Rfesd","ENSG00000175449","RFESD","ENSG00000175449.15",2024-08-25
"ENSMUSG00000000126","ENSMUSG00000000126.12","Wnt9a","ENSG00000143816","WNT9A","ENSG00000143816.8",2024-08-25
"ENSMUSG00000049694","ENSMUSG00000049694.14","BC048671","ENSG00000180697","C3orf22","ENSG00000180697.9",2024-08-25
"ENSMUSG00000033319","ENSMUSG00000033319.6","Fem1c","ENSG00000145780","FEM1C","ENSG00000145780.8",2024-08-25
"ENSMUSG00000109588","ENSMUSG00000109588.2","Lnp1","ENSG00000206535","LNP1","ENSG00000206535.8",2024-08-25
"ENSMUSG00000033022","ENSMUSG00000033022.9","Cdo1","ENSG00000129596","CDO1","ENSG00000129596.5",2024-08-25
"ENSMUSG00000004018","ENSMUSG00000004018.10","Fancl","ENSG00000115392","FANCL","ENSG00000115392.13",2024-08-25
"ENSMUSG00000056643","ENSMUSG00000056643.6","Chst13","ENSG00000180767","CHST13","ENSG00000180767.11",2024-08-25
"ENSMUSG00000056091","ENSMUSG00000056091.13","St3gal5","ENSG00000115525","ST3GAL5","ENSG00000115525.18",2024-08-25
"ENSMUSG00000021068","ENSMUSG00000021068.18","Nin","ENSG00000100503","NIN","ENSG00000100503.27",2024-08-25
"ENSMUSG00000045763","ENSMUSG00000045763.9","Basp1","ENSG00000176788","BASP1","ENSG00000176788.9",2024-08-25
"ENSMUSG00000022752","ENSMUSG00000022752.10","Tomm70a","ENSG00000154174","TOMM70","ENSG00000154174.8",2024-08-25
"ENSMUSG00000032905","ENSMUSG00000032905.6","Atg12","ENSG00000145782","ATG12","ENSG00000145782.13",2024-08-25
"ENSMUSG00000024480","ENSMUSG00000024480.10","Ap3s1","ENSG00000177879","AP3S1","ENSG00000177879.17",2024-08-25
"ENSMUSG00000033327","ENSMUSG00000033327.19","Tnxb","ENSG00000168477","TNXB","ENSG00000168477.21",2024-08-25
"ENSMUSG00000019948","ENSMUSG00000019948.5","Actr6","ENSG00000075089","ACTR6","ENSG00000075089.10",2024-08-25
"ENSMUSG00000042684","ENSMUSG00000042684.9","Npl","ENSG00000135838","NPL","ENSG00000135838.14",2024-08-25
"ENSMUSG00000022751","ENSMUSG00000022751.10","Nit2","ENSG00000114021","NIT2","ENSG00000114021.12",2024-08-25
"ENSMUSG00000024481","ENSMUSG00000024481.6","Lvrn","ENSG00000172901","LVRN","ENSG00000172901.21",2024-08-25
"ENSMUSG00000023232","ENSMUSG00000023232.18","Serinc2","ENSG00000168528","SERINC2","ENSG00000168528.12",2024-08-25
"ENSMUSG00000037621","ENSMUSG00000037621.9","Atoh8","ENSG00000168874","ATOH8","ENSG00000168874.13",2024-08-25
"ENSMUSG00000020218","ENSMUSG00000020218.12","Wif1","ENSG00000156076","WIF1","ENSG00000156076.10",2024-08-25
"ENSMUSG00000034456","ENSMUSG00000034456.16","Uroc1","ENSG00000159650","UROC1","ENSG00000159650.9",2024-08-25
"ENSMUSG00000036040","ENSMUSG00000036040.15","Adamtsl2","ENSG00000197859","ADAMTSL2","ENSG00000197859.11",2024-08-25
"ENSMUSG00000022749","ENSMUSG00000022749.9","Tbc1d23","ENSG00000036054","TBC1D23","ENSG00000036054.13",2024-08-25
"ENSMUSG00000049291","ENSMUSG00000049291.7","Prss38","ENSG00000185888","PRSS38","ENSG00000185888.6",2024-08-25
"ENSMUSG00000073568","ENSMUSG00000073568.3","Arl14epl","ENSG00000268223","ARL14EPL","ENSG00000268223.7",2024-08-25
"ENSMUSG00000061718","ENSMUSG00000061718.13","Ppp1r1b","ENSG00000131771","PPP1R1B","ENSG00000131771.14",2024-08-25
"ENSMUSG00000042705","ENSMUSG00000042705.10","Commd10","ENSG00000145781","COMMD10","ENSG00000145781.9",2024-08-25
"ENSMUSG00000055102","ENSMUSG00000055102.16","Zfp819","ENSG00000081386","ZNF510","ENSG00000081386.13",2024-08-25
"ENSMUSG00000025986","ENSMUSG00000025986.7","Slc39a10","ENSG00000196950","SLC39A10","ENSG00000196950.14",2024-08-25
"ENSMUSG00000028773","ENSMUSG00000028773.9","Fabp3","ENSG00000121769","FABP3","ENSG00000121769.8",2024-08-25
"ENSMUSG00000031143","ENSMUSG00000031143.5","Ccdc22","ENSG00000101997","CCDC22","ENSG00000101997.13",2024-08-25
"ENSMUSG00000022055","ENSMUSG00000022055.8","Nefl","ENSG00000277586","NEFL","ENSG00000277586.4",2024-08-25
"ENSMUSG00000052302","ENSMUSG00000052302.7","Tbc1d30","ENSG00000111490","TBC1D30","ENSG00000111490.15",2024-08-25
"ENSMUSG00000036760","ENSMUSG00000036760.8","Kcnk9","ENSG00000169427","KCNK9","ENSG00000169427.8",2024-08-25
"ENSMUSG00000028772","ENSMUSG00000028772.20","Zcchc17","ENSG00000121766","ZCCHC17","ENSG00000121766.16",2024-08-25
"ENSMUSG00000030472","ENSMUSG00000030472.10","Ceacam18","ENSG00000213822","CEACAM18","ENSG00000213822.7",2024-08-25
"ENSMUSG00000009216","ENSMUSG00000009216.8","Fam163b","ENSG00000196990","FAM163B","ENSG00000196990.10",2024-08-25
"ENSMUSG00000022272","ENSMUSG00000022272.18","Myo10","ENSG00000145555","MYO10","ENSG00000145555.15",2024-08-25
"ENSMUSG00000026893","ENSMUSG00000026893.5","Gca","ENSG00000115271","GCA","ENSG00000115271.11",2024-08-25
"ENSMUSG00000047819","ENSMUSG00000047819.4","Tigd4","ENSG00000169989","TIGD4","ENSG00000169989.3",2024-08-25
"ENSMUSG00000034430","ENSMUSG00000034430.17","Zxdc","ENSG00000070476","ZXDC","ENSG00000070476.15",2024-08-25
"ENSMUSG00000056498","ENSMUSG00000056498.14","Tmem154","ENSG00000170006","TMEM154","ENSG00000170006.13",2024-08-25
"ENSMUSG00000038540","ENSMUSG00000038540.15","Tmc3","ENSG00000188869","TMC3","ENSG00000188869.13",2024-08-25
"ENSMUSG00000021948","ENSMUSG00000021948.18","Prkcd","ENSG00000163932","PRKCD","ENSG00000163932.16",2024-08-25
"ENSMUSG00000078161","ENSMUSG00000078161.9","Erich3","ENSG00000178965","ERICH3","ENSG00000178965.14",2024-08-25
"ENSMUSG00000009894","ENSMUSG00000009894.16","Snap47","ENSG00000143740","SNAP47","ENSG00000143740.15",2024-08-25
"ENSMUSG00000074088","ENSMUSG00000074088.7","Snrnp40","ENSG00000060688","SNRNP40","ENSG00000060688.13",2024-08-25
"ENSMUSG00000064943","ENSMUSG00000064943.3","Gm23240","ENSG00000253089","RNU1-104P","ENSG00000253089.1",2024-08-25
"ENSMUSG00000031111","ENSMUSG00000031111.17","Igsf1","ENSG00000147255","IGSF1","ENSG00000147255.19",2024-08-25
"ENSMUSG00000019951","ENSMUSG00000019951.11","Bltp3b","ENSG00000111647","BLTP3B","ENSG00000111647.13",2024-08-25
"ENSMUSG00000056763","ENSMUSG00000056763.17","Cspp1","ENSG00000104218","CSPP1","ENSG00000104218.16",2024-08-25
"ENSMUSG00000078532","ENSMUSG00000078532.10","Nkain1","ENSG00000084628","NKAIN1","ENSG00000084628.10",2024-08-25
"ENSMUSG00000075090","ENSMUSG00000075090.5","Or4a15","ENSG00000181958","OR4A15","ENSG00000181958.5",2024-08-25
"ENSMUSG00000037270","ENSMUSG00000037270.19","Bltp1","ENSG00000138688","BLTP1","ENSG00000138688.17",2024-08-25
"ENSMUSG00000000889","ENSMUSG00000000889.9","Dbh","ENSG00000123454","DBH","ENSG00000123454.12",2024-08-25
"ENSMUSG00000064090","ENSMUSG00000064090.15","Vrk2","ENSG00000028116","VRK2","ENSG00000028116.18",2024-08-25
"ENSMUSG00000063077","ENSMUSG00000063077.16","Kif1b","ENSG00000054523","KIF1B","ENSG00000054523.20",2024-08-25
"ENSMUSG00000022748","ENSMUSG00000022748.9","Cmss1","ENSG00000184220","CMSS1","ENSG00000184220.12",2024-08-25
"ENSMUSG00000048794","ENSMUSG00000048794.15","Cfap100","ENSG00000163885","CFAP100","ENSG00000163885.12",2024-08-25
"ENSMUSG00000002668","ENSMUSG00000002668.9","Dennd1c","ENSG00000205744","DENND1C","ENSG00000205744.10",2024-08-25
"ENSMUSG00000029311","ENSMUSG00000029311.17","Hsd17b11","ENSG00000198189","HSD17B11","ENSG00000198189.11",2024-08-25
"ENSMUSG00000024505","ENSMUSG00000024505.17","Dtwd2","ENSG00000169570","DTWD2","ENSG00000169570.10",2024-08-25
"ENSMUSG00000043336","ENSMUSG00000043336.15","Filip1l","ENSG00000168386","FILIP1L","ENSG00000168386.19",2024-08-25
"ENSMUSG00000021720","ENSMUSG00000021720.12","Rnf180","ENSG00000164197","RNF180","ENSG00000164197.12",2024-08-25
"ENSMUSG00000026648","ENSMUSG00000026648.19","Dclre1c","ENSG00000152457","DCLRE1C","ENSG00000152457.19",2024-08-25
"ENSMUSG00000034707","ENSMUSG00000034707.8","Gns","ENSG00000135677","GNS","ENSG00000135677.11",2024-08-25
"ENSMUSG00000068196","ENSMUSG00000068196.6","Col8a1","ENSG00000144810","COL8A1","ENSG00000144810.16",2024-08-25
"ENSMUSG00000018167","ENSMUSG00000018167.11","Stard3","ENSG00000131748","STARD3","ENSG00000131748.16",2024-08-25
"ENSMUSG00000037416","ENSMUSG00000037416.14","Dmxl1","ENSG00000172869","DMXL1","ENSG00000172869.15",2024-08-25
"ENSMUSG00000029310","ENSMUSG00000029310.14","Nudt9","ENSG00000170502","NUDT9","ENSG00000170502.13",2024-08-25
"ENSMUSG00000030087","ENSMUSG00000030087.12","Klf15","ENSG00000163884","KLF15","ENSG00000163884.4",2024-08-25
